Asin,Brand,Title,Price,keywords,Categories,Bestsellers_rank,Rating,Ratings_total,Bundles,Frequently_bought_together,Newer_model,Color,Connectivity_Technology,Printing_Technology,Printer_Output,Maximum_Print_Speed_Color,Weight,Depth,Width,Height,Special_Feature,TotalNo_Special_Feature
B0CG1BD6H2,Simple Trending,3 Tier Mobile Wooden Printer Stand  Multi Purpose Office Organizer for Fax Machine  Files  Books  Black,36.97,12,Electronics,30540,4.6,31,0,2,0,black,bluetooth,other,Color,0,4821.768,17,11.75,29.25,['Wood'],1
B0CJ8YQG5C,Phomemo,Phomemo M960 Label Maker with Tape Mini Label Maker Printer Bluetooth Label Makers Smartphone Labeler  Easy to Use  for Kids School Item Home Business Office Organized Rechargeable  Black,22.99,23,Electronics,67437,4.3,104,5,2,0,black,bluetooth,Thermal,Color,1,320.355,1.8,0.85,2.17,"['Portable', 'Wireless']",2
B0CQ7WSGFD,POLONO,POLONO Genuine Label Printer Case Compatible with P31S Label Maker  Hard Carry Label Printer Case for Labeler Makers   Labeling Tapes  Storage Case for Portable Sticker Printer  Case Only   Black,9.99,27,Office Products,12759,5,6,0,2,0,black,bluetooth,Thermal,Color,0,130.41,7.839467456,7.963402367,5.807751479,['Case'],1
B0B747ZNX1,Ubinki,Remanufactured Ink Cartridge Replacement for HP 65XL 65 Ink  Black and Color Combo  2 Pack  HP65 XL HP65XL for 5000 5055 3755 3700 3772 3722 2600 2622 3752 2652 2640 5052 5010 5014 Printer,23.99,25,Electronics,6375,4.4,450,0,2,0,black,bluetooth,other,Color,0,99.792,2.66,1.47,4.23,['650'],1
B07DB8QN28,Printers Jack,Printers Jack 400ML Sublimation Ink for Epson C88 C88  WF7720 ET2720 ET4760 ET2760 ET2750 WF7820 Inkjet Printers Heat Press Transfer on Mugs  Plates  Polyester Shirts  Phone Cases etc 4 Colors Sublimation Ink,16.99,23,Office Products,4253,4.7,14075,0,2,0,other,bluetooth,other,Color,0,400,6.38,4.25,3.5,['4 Colors Sublimation Ink'],1
B0BZ3JNGHQ,CKMY,Compatible Ink Cartridge Replacement for Canon 260 261 PG 260 XL CL 261 XL  Tri color  Black  2 Pack,52.99,9,Electronics,12027,4.2,129,0,2,0,other,bluetooth,other,Color,0,130.41,7.839467456,7.963402367,5.807751479,['600'],1
B0CHY9FR9T,Ubinki,Remanufactured Ink Cartridge Replacement for HP 61 XL 61XL Combo Pack  2 Black 1 Color 3 Pack  for HP Printer 5530 4500 2540 4630 4501 4502 4635 3050 2542 3512 4632 3510 3050a 2514 2541 Printer,33.99,26,Electronics,32497,4.6,46,0,2,0,black,bluetooth,other,Color,0,158.76,7.839467456,7.963402367,5.807751479,['400'],1
B01BYKD628,HP,HP 902XL Black High yield Ink Cartridge   Works with HP OfficeJet 6950  6960 Series  HP OfficeJet Pro 6960  6970 Series   Eligible for Instant Ink   T6M14AN,50.89,17,Office Products,56,4.6,23250,0,0,0,white,bluetooth,Inkjet,Color,0,81.648,1,1,1,['750'],1
B0BB6R11WJ,Axlio,Axlio PG 240XL CL 241XL Compatible Ink Cartridges Replacement for Canon 240 241  240XL 241XL Combo Pack Use to Canon MG3620 TS5120 MG3520 MG2120 MX452 MX512 MX532 Printer  2 Pack ,49.99,20,Office Products,4314,4.4,1426,0,2,0,other,bluetooth,other,Color,0,141.75,2.76,3.07,3.07,['Printer'],1
B00L1G7LBI,HP,HP 62XL Black High yield Ink   Works with HP ENVY 5540  5640  5660  7640 Series  HP OfficeJet 5740  8040 Series  HP OfficeJet Mobile 200  250 Series   Eligible for Instant Ink   C2P05AN,50.89,21,Office Products,129,4.7,26783,0,0,0,white,bluetooth,Inkjet,Color,0,49.896,4,1,10,['600'],1
B09CDWL8JD,Brother,Brother Genuine LC401BK Standard Yield Black Ink Cartridge,13.99,7,Office Products,1022,4.6,1071,0,0,0,black,bluetooth,Laser,Color,0,45.36,5.6,1,3.6,['200'],1
B0B1M28FBM,Epson,Epson EcoTank ET 3850 Wireless Color All in One Cartridge Free Supertank Printer with Scanner  Copier  ADF and Ethernet ‚   White  Renewed  ET 3850  Renewed  Printer,199.99,15,Electronics,2725,4.2,1275,0,0,0,white,wi-fi usb ethernet,Inkjet,Color,8.5,6713.28,19.8,16.4,10,"['Auto-Duplex', ' Energy Star', ' Refillable Ink Tank', ' Auto Document Feeder']",4
B01IIOMNIG,Canon,Canon Office Products MAXIFY MB2120 Wireless Color Photo Printer with Scanner  Copier and Fax Printer Only,158.66,12,All Departments,0,4.2,872,0,2,0,black,usb,Inkjet,Color,1,10523.52,7.839467456,7.963402367,5.807751479,['Wireless'],1
B09CDV5BFT,Brother,Brother Genuine LC401XL 2PK High Yield 2 Pack Black Ink Cartridges,54.98,8,Office Products,3416,4.6,483,0,0,0,black,bluetooth,Laser,Color,0,90.72,1.97,3.74,4.53,['500'],1
B096N85ZHW,Epson,Epson EcoTank ET 2850 Wireless Color All in One Cartridge Free Supertank Printer with Scan  Copy and Auto 2 Sided Printing   White  Medium White ET 2850  White  Print Copy Scan,262.99,17,Electronics,1180,4.3,4309,0,2,0,white,wi-fi usb,Inkjet,Color,5,5397.84,14.8,22.3,10.2,"['Refillable Ink Tank', ' Auto 2-sided Printing']",2
B07W69W11Z,Canon,Canon PG 260Xl Black Ink Cartridge  Compatible to Printer TR7020  TS6420  and TS5320,31.99,9,Office Products,1123,4.7,2776,0,0,0,black,bluetooth,Inkjet,Color,0,56.9835,1,1,1,['100'],1
B003YT6RNS,HP,HP 61 Black Tri color Ink  2 Count   pack    Works with DeskJet 1000  1010  1050  1510  2050  2510  2540  3000  3050  3510  ENVY 4500  5530  OfficeJet 2620  4630   Eligible for Instant Ink   CR259FN,54.89,25,Office Products,198,4.7,36791,0,0,0,white,bluetooth,Inkjet,Color,0,45.36,5,16.2,12.5,['170'],1
