Asin,Brand,Title,price,keywords,protection_plans,variants,categories,Bestsellers_rank,Rating,Ratings_total,weight,Dimensions,Bundles,Frequently_bought_together,Newer_model,Connectivity_Technology,Printing_Technology,Special_Feature,Color,Printer_Output,Maximum_Print_Speed_Color,Max_Printspeed_Monochrome,Controller_Type
B01LAK6JVW,HP,"HP DeskJet 3755 Compact All-in-One Wireless Printer, HP Instant Ink, Works with Alexa - Seagrass Accent (J9V92A) Seagrass HP DeskJet 3755",95.62,13,,9,Electronics,0,4,29746,5.1 Pounds, ,0,0,No,"wired, wireless",Inkjet,"wireless,compact",Seagrass,Color,15 ppm,19 ppm,
B00FIWW9LS,Canon,Canon MG2520 Color Photo Printer,49.59,5,3,,Electronics,78767,4.1,1209,7.6 Pounds,12.1 x 16.8 x 5.8 inches,0,2,No,USB,Inkjet,"PG-245/PG-245 XL Black Ink Cartridges, CL-246/CL-246 XL Color Ink Cartridges",Black,Color,4.00,8.00,
B0CFVKJNH1,PACITEK,"PACITEK 910XL Black Ink Compatible with HP 910xl Black Ink 910 XL Black Ink cartridges for hp Printers Work with HP OfficeJet Pro 8020 8025 8025e 8035 8028 8022 8015 8018 Printer,high Yield 2 Pack",29.99,25,,1,Electronics,49060,4.1,42,7 ounces, ,0,2,No,Black, ,"8010, 8010e, 8012e, 8014e, 8015, 8015e, 8018, 8022, 8022e; HP OfficeJet Pro 8020, 8020e, 8024e, 8025, 8025e, 8028, 8028e, 8035, 8035e See more", ,Black, ,,
B0C9LDKLMV,Printers Jack,Printers Jack Compatible 590ml 502 T502 Refill Ink Bottles Replacement for ET-2750 ET-3750 ET-4750 ET-2760 ET-3760 ET-4760 ET-2700 ET-3700 ET-3710 ET-15000 ST-2000 ST-3000 ST-4000 Printer 502-590ml( 2BK C M Y),22.49,22,,3,Electronics,0,4.6,3378, , ,0,2,No,"Yellow, Cyan, Black, Magenta", ,"OEM, Compatible", , , ,,
B00LGCUPQU,Brother,"Brother Genuine Standard Yield Toner Cartridge, TN630, Replacement Black Toner, Page Yield Up to 1,200 Pages, Amazon Dash Replenishment Cartridge", ,17,,1,Office Products,0,4.7,9220,1.4 Pounds, ,0,2,No,Black, ,Brother toner cartridge,Black, , ,,
B0C6CQQPVC,Brother,"Brother Monochrome Laser All-in-One MFCL5705DW, up to 1,000 Extra Pages of Additional Toner Included in Box‡ New Model: MFC-L5705DW",369.99,11,3,3,Electronics,13467,4.3,788,36.4 Pounds,"16.8""D x 17.1""W x 19.1""H",0,2,No,USB,Laser,"Auto-Duplex, Network-Ready, Energy Star, Display Screen, Double Sided Scanning",Grey,Monochrome, ,36.4 Pounds,
B0BBQN3NYV,HPRT,"Mini Label Maker Machine with Tape, Bluetooth Wireless Connection for iPhone Android, Cute Label Makers Inkless Waterproof for Home, Office Organizing, Multiple Pre-Made Templates… 1 Tape beige",9.99,22,,4,Electronics,7588,4.2,427,150 Grams,4 x 3 x 2 inches,0,2,No,Bluetooth,Thermal,"Hockey puck shape, Inbulit recharging, Creative APP Functions, Inkless, Palm-sized & portable",beige,Monochrome,10.00,30.00,
B09D7WWJQZ,Canon,"Canon PIXMA 3522 Series All-in-One Color Inkjet Printer I Print Copy Scan I Mobile Printing I Wireless I 1.5"" Segment LCD I 50 Sheets Paper Tray I 4800 x 1200 dpi I Black + Printer Cable",42.06,24,,,Electronics,77706,4,104,8.8 Pounds,"12.9""D x 17.2""W x 5.8""H",0,0,No,"Wi-Fi, USB",Inkjet,Wireless, , , ,"12.9""D x 17.2""W x 5.8""H",
B00KDIU3FG,Epson,"EPSON 252 DURABrite Ultra Ink Standard Capacity Color Combo Pack (T252520-S) Works with WorkForce WF-3620, WF-3640, WF-7110, WF-7610, WF-7620, WF-7710, WF-7720, WF-7210 Color Combo Ink Standard Packaging",32,20,,3,Office Products,2465,4.6,5992,1.6 ounces,2.3 x 4.35 x 4.75 inches,0,2,No,Epson, ,300, ,OEM, ,"WF-3620, WF-3640, WF-7110, WF-7210, WF-7610, WF-7620, WF-7710, WF-7720",
B0CDJVQTCT,SUDLTO,"SUDLTO TN760 TN-760 Compatible with Brother TN760 TN730 Toner TN-730/TN-760 to Use with MFC-L2750DW HL-L2370DW MFC-L2710DW HL-L2350DW DCP-L2550DW HL-L2390DW Printer (2 Black, High Yield) 2 pack of TN760",29.98,21,,1,Office Products,6001,4.7,129,1.07 Kilograms, ,0,2,No,2 pack of TN760, ,2 pack of tn760 tn-760,2 pack of TN760, , ,,
